,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,list
16,1404576515719942157,1404471674620321796,2021-06-15 06:08:31 SE Asia Standard Time,2021-06-15,06:08:31,700,918457561233403904,aim4power,Duke of Nogokpo,,@KwabenaBamford @titokgh @PulseGhana Exactly! That is the point. He was too relaxed and got taken by surprise. Which shouldn't have been. He was supposed to be alert AT ALL TIMES. He slacked big time. May his soul rest in peace.,en,[],[],[],0,0,0,[],[],https://twitter.com/Aim4power/status/1404576515719942157,False,,0,,,,,,,,"{'screen_name': 'KwabenaBamford', 'name': 'Nana KB🌚', 'id': '533452883'}, {'screen_name': 'titokgh', 'name': 'tito kingsley ampiah', 'id': '460122735'}, {'screen_name': 'PulseGhana', 'name': 'Pulse Ghana', 'id': '2463511302'}]",,,,,PulseGhana
17,1404576502822453253,1404528816316375042,2021-06-15 06:08:28 SE Asia Standard Time,2021-06-15,06:08:28,700,1435104757,mcmahon_ronan,Ronan McMahon,,@Ballyroanparish May he Rest In Peace,en,[],[],[],0,0,0,[],[],https://twitter.com/McMahon_Ronan/status/1404576502822453253,False,,0,,,,,,,,"{'screen_name': 'Ballyroanparish', 'name': 'Ballyroan Parish', 'id': '278979952'}]",,,,,Ballyroanparish
21,1404576473361661952,1404456884015452163,2021-06-15 06:08:21 SE Asia Standard Time,2021-06-15,06:08:21,700,1099621375214526464,umar_aliman,MUTAWALLEN_ILLELA👳🏽,,"@maryambarwa @anasko__sheka Subhanallah, may his gentle soul continue to rest in peace and my condolences to you and your family too bear this great loss 😭😭😭  Pls accept my condolences 🙏🙏🙏",en,[],[],[],0,1,1,[],[],https://twitter.com/umar_aliman/status/1404576473361661952,False,,0,,,,,,,,"{'screen_name': 'maryambarwa', 'name': 'PHENOMENAL👑🥀🌹✨', 'id': '1168807751063150592'}, {'screen_name': 'anasko__sheka', 'name': '______A̸N̸A̸S̸K̸O̸👳\u200d♀️📿', 'id': '1169420025050144768'}]",,,,,maryambarwa
21,1404576473361661952,1404456884015452163,2021-06-15 06:08:21 SE Asia Standard Time,2021-06-15,06:08:21,700,1099621375214526464,umar_aliman,MUTAWALLEN_ILLELA👳🏽,,"@maryambarwa @anasko__sheka Subhanallah, may his gentle soul continue to rest in peace and my condolences to you and your family too bear this great loss 😭😭😭  Pls accept my condolences 🙏🙏🙏",en,[],[],[],0,1,1,[],[],https://twitter.com/umar_aliman/status/1404576473361661952,False,,0,,,,,,,,"{'screen_name': 'maryambarwa', 'name': 'PHENOMENAL👑🥀🌹✨', 'id': '1168807751063150592'}, {'screen_name': 'anasko__sheka', 'name': '______A̸N̸A̸S̸K̸O̸👳\u200d♀️📿', 'id': '1169420025050144768'}]",,,,,anasko__sheka
22,1404576437005393929,1404511878164979712,2021-06-15 06:08:13 SE Asia Standard Time,2021-06-15,06:08:13,700,1255157218820993028,aerreno,Annacky Tega Erreno🇳🇦,,@namibiansun May you rest in peace Chief we'll remember you.. You have opened our eyes 🕊️🕊️,en,[],[],[],0,0,0,[],[],https://twitter.com/AErreno/status/1404576437005393929,False,,0,,,,,,,,"{'screen_name': 'namibiansun', 'name': 'Namibian Sun', 'id': '177978853'}]",,,,,namibiansun
24,1404576398778449923,1404574373684654081,2021-06-15 06:08:03 SE Asia Standard Time,2021-06-15,06:08:03,700,1345377021946441732,joykleinhenz,Joy Kleinhenz,,@AuschwitzMuseum Valtr Baumgarten🕯️  I mourn your suffering &amp; senseless death   Rest in peace,en,[],[],[],0,0,0,[],[],https://twitter.com/JoyKleinhenz/status/1404576398778449923,False,,0,,,,,,,,"{'screen_name': 'AuschwitzMuseum', 'name': 'Auschwitz Memorial', 'id': '586291040'}]",,,,,AuschwitzMuseum
25,1404576397633495041,1404575540749668355,2021-06-15 06:08:03 SE Asia Standard Time,2021-06-15,06:08:03,700,20031387,pinkdrinx,Pinkdrinx,,"@SenateDems 600,000+ lives lost due to #COVID May they Rest In Peace.",en,[],[],[],0,0,0,['covid'],[],https://twitter.com/pinkdrinx/status/1404576397633495041,False,,0,,,,,,,,"{'screen_name': 'SenateDems', 'name': 'Senate Democrats', 'id': '73238146'}]",,,,,SenateDems
27,1404576291140034563,1404517356190175233,2021-06-15 06:07:38 SE Asia Standard Time,2021-06-15,06:07:38,700,1392282410985873418,ben12502,Ben1250,,"@DrJuma_M Hiyo ni Noma ,may their soul Rest in Peace",en,[],[],[],0,0,0,[],[],https://twitter.com/Ben12502/status/1404576291140034563,False,,0,,,,,,,,"{'screen_name': 'DrJuma_M', 'name': 'Heisenberg\uf8ff', 'id': '2910486957'}]",,,,,DrJuma_M
30,1404576169782136842,1404573774608048128,2021-06-15 06:07:09 SE Asia Standard Time,2021-06-15,06:07:09,700,980555437383847938,richard59903713,🇨🇦 Richie 1968 🇵🇹,,@NotherRainyDay Yes rest in peace Ned Beatty.  Rudy cones first to mind when I think of Ned  https://t.co/z3ZwWX6UFG,en,[],[],['https://pbs.twimg.com/media/E34OlQRXEAI2Of4.jpg'],0,0,1,[],[],https://twitter.com/Richard59903713/status/1404576169782136842,False,,1,https://pbs.twimg.com/media/E34OlQRXEAI2Of4.jpg,,,,,,,"{'screen_name': 'NotherRainyDay', 'name': 'Rainy 🧷🗽🧘🏼🌊🌦⚖️🧶🎶🇺🇸', 'id': '1267547660883558400'}]",,,,,NotherRainyDay
31,1404576113225912321,1404507695009390592,2021-06-15 06:06:55 SE Asia Standard Time,2021-06-15,06:06:55,700,233136644,missyelsie,"🇦🇺Elsie & Mitzi, Dook (RIP)🇦🇺",,@CentralPig @preciousways12 I’m sorry for your loss. She’s so cute. Rest in peace precious paws Serenity.,en,[],[],[],0,0,0,[],[],https://twitter.com/MissyElsie/status/1404576113225912321,False,,0,,,,,,,,"{'screen_name': 'CentralPig', 'name': 'Guinea Pig Central', 'id': '1030971543583698949'}, {'screen_name': 'preciousways12', 'name': 'Wilson from Precious Ways', 'id': '795060990605983744'}]",,,,,CentralPig
31,1404576113225912321,1404507695009390592,2021-06-15 06:06:55 SE Asia Standard Time,2021-06-15,06:06:55,700,233136644,missyelsie,"🇦🇺Elsie & Mitzi, Dook (RIP)🇦🇺",,@CentralPig @preciousways12 I’m sorry for your loss. She’s so cute. Rest in peace precious paws Serenity.,en,[],[],[],0,0,0,[],[],https://twitter.com/MissyElsie/status/1404576113225912321,False,,0,,,,,,,,"{'screen_name': 'CentralPig', 'name': 'Guinea Pig Central', 'id': '1030971543583698949'}, {'screen_name': 'preciousways12', 'name': 'Wilson from Precious Ways', 'id': '795060990605983744'}]",,,,,preciousways12
35,1404576024629858309,1404566904921022467,2021-06-15 06:06:34 SE Asia Standard Time,2021-06-15,06:06:34,700,400432839,tfmartintf,Teresa,,@HounddogZenith @DeidreEversull I’m so sorry for your loss. May he Rest In Peace 🙏🏼,en,[],[],[],0,0,0,[],[],https://twitter.com/tfmartintf/status/1404576024629858309,False,,0,,,,,,,,"{'screen_name': 'HounddogZenith', 'name': 'Zenith the Hound', 'id': '1000898094115049472'}, {'screen_name': 'DeidreEversull', 'name': 'Deidre Eversull', 'id': '359612102'}]",,,,,HounddogZenith
35,1404576024629858309,1404566904921022467,2021-06-15 06:06:34 SE Asia Standard Time,2021-06-15,06:06:34,700,400432839,tfmartintf,Teresa,,@HounddogZenith @DeidreEversull I’m so sorry for your loss. May he Rest In Peace 🙏🏼,en,[],[],[],0,0,0,[],[],https://twitter.com/tfmartintf/status/1404576024629858309,False,,0,,,,,,,,"{'screen_name': 'HounddogZenith', 'name': 'Zenith the Hound', 'id': '1000898094115049472'}, {'screen_name': 'DeidreEversull', 'name': 'Deidre Eversull', 'id': '359612102'}]",,,,,DeidreEversull
36,1404575959815233541,1404530763664666633,2021-06-15 06:06:19 SE Asia Standard Time,2021-06-15,06:06:19,700,1003373853794500608,sopesuds,frog soapie returns,,@kaitiiiooo REST IN PEACE BETTY ⚰️🕊🙏 but yeah my day has been Meh at best,en,[],[],[],0,0,0,[],[],https://twitter.com/sopesuds/status/1404575959815233541,False,,0,,,,,,,,"{'screen_name': 'kaitiiiooo', 'name': 'kaiti⁷ 😈💕', 'id': '1350677674289754114'}]",,,,,kaitiiiooo
39,1404575762074701829,1404571768451338241,2021-06-15 06:05:32 SE Asia Standard Time,2021-06-15,06:05:32,700,1191536752000995328,stevevaliquett1,Steve Valiquette,,@HeyLaurenSummer I just read that the poor cow was falsely accused. A man called Louis M. Cohn admitted that he started the fire during a game of dice. The O'Leary were the perfect scapegoat because they were Irish and Catholic. Your ancestors can rest in peace. 😉,en,[],[],[],0,0,0,[],[],https://twitter.com/SteveValiquett1/status/1404575762074701829,False,,0,,,,,,,,"{'screen_name': 'HeyLaurenSummer', 'name': 'Lauren Summer', 'id': '796568665558839296'}]",,,,,HeyLaurenSummer
40,1404575713093509126,1404485900126638081,2021-06-15 06:05:20 SE Asia Standard Time,2021-06-15,06:05:20,700,1147334910035689472,youkai876,Frozen heart,,@Aquarian1_wve I require peace all right. The Rest In Peace kind,en,[],[],[],0,0,0,[],[],https://twitter.com/youkai876/status/1404575713093509126,False,,0,,,,,,,,"{'screen_name': 'Aquarian1_wve', 'name': 'AྂqྂuྂaྂrྂiྂuྂsྂLྂaྂdྂy', 'id': '1068016449275510784'}]",,,,,Aquarian1_wve
41,1404575687868964864,1404559288983511044,2021-06-15 06:05:14 SE Asia Standard Time,2021-06-15,06:05:14,700,1137233046409699333,squidypanda,SquidyCryptoPanda,,"@KTVU Heartbreaking, rest in peace little ones.....",en,[],[],[],0,0,0,[],[],https://twitter.com/SquidyPanda/status/1404575687868964864,False,,0,,,,,,,,"{'screen_name': 'KTVU', 'name': 'KTVU', 'id': '15652540'}]",,,,,KTVU
44,1404575590607372291,1404571119143751682,2021-06-15 06:04:51 SE Asia Standard Time,2021-06-15,06:04:51,700,1377049676197867527,dsgkuzion,𝘿𝙎𝙂-𝙆𝙪𝙯𝙞𝙤𝙣🀄|#ThankYouMiura,,@KamiKanSama @VioletsRailgun @judaaime @gondadisgon Rest In Peace kamikaze  https://t.co/SYzwIkFG6Z,pl,[],[],['https://pbs.twimg.com/tweet_video_thumb/E34ODW7XoAUV0Eg.jpg'],1,0,1,[],[],https://twitter.com/DSGKuzion/status/1404575590607372291,False,,1,https://pbs.twimg.com/tweet_video_thumb/E34ODW7XoAUV0Eg.jpg,,,,,,,"{'screen_name': 'KamiKanSama', 'name': '𝕂𝕒𝕞𝕚𝕜𝕒𝕫𝕖/CR: Berserk|| CW: Mono', 'id': '1215060245392826375'}, {'screen_name': 'VioletsRailgun', 'name': 'violet', 'id': '1207800727449542656'}, {'screen_name': 'judaaime', 'name': 'taka❀', 'id': '1392214734850691075'}, {'screen_name': 'gondadisgon', 'name': 'Iyah', 'id': '996928513805635584'}]",,,,,KamiKanSama
44,1404575590607372291,1404571119143751682,2021-06-15 06:04:51 SE Asia Standard Time,2021-06-15,06:04:51,700,1377049676197867527,dsgkuzion,𝘿𝙎𝙂-𝙆𝙪𝙯𝙞𝙤𝙣🀄|#ThankYouMiura,,@KamiKanSama @VioletsRailgun @judaaime @gondadisgon Rest In Peace kamikaze  https://t.co/SYzwIkFG6Z,pl,[],[],['https://pbs.twimg.com/tweet_video_thumb/E34ODW7XoAUV0Eg.jpg'],1,0,1,[],[],https://twitter.com/DSGKuzion/status/1404575590607372291,False,,1,https://pbs.twimg.com/tweet_video_thumb/E34ODW7XoAUV0Eg.jpg,,,,,,,"{'screen_name': 'KamiKanSama', 'name': '𝕂𝕒𝕞𝕚𝕜𝕒𝕫𝕖/CR: Berserk|| CW: Mono', 'id': '1215060245392826375'}, {'screen_name': 'VioletsRailgun', 'name': 'violet', 'id': '1207800727449542656'}, {'screen_name': 'judaaime', 'name': 'taka❀', 'id': '1392214734850691075'}, {'screen_name': 'gondadisgon', 'name': 'Iyah', 'id': '996928513805635584'}]",,,,,VioletsRailgun
44,1404575590607372291,1404571119143751682,2021-06-15 06:04:51 SE Asia Standard Time,2021-06-15,06:04:51,700,1377049676197867527,dsgkuzion,𝘿𝙎𝙂-𝙆𝙪𝙯𝙞𝙤𝙣🀄|#ThankYouMiura,,@KamiKanSama @VioletsRailgun @judaaime @gondadisgon Rest In Peace kamikaze  https://t.co/SYzwIkFG6Z,pl,[],[],['https://pbs.twimg.com/tweet_video_thumb/E34ODW7XoAUV0Eg.jpg'],1,0,1,[],[],https://twitter.com/DSGKuzion/status/1404575590607372291,False,,1,https://pbs.twimg.com/tweet_video_thumb/E34ODW7XoAUV0Eg.jpg,,,,,,,"{'screen_name': 'KamiKanSama', 'name': '𝕂𝕒𝕞𝕚𝕜𝕒𝕫𝕖/CR: Berserk|| CW: Mono', 'id': '1215060245392826375'}, {'screen_name': 'VioletsRailgun', 'name': 'violet', 'id': '1207800727449542656'}, {'screen_name': 'judaaime', 'name': 'taka❀', 'id': '1392214734850691075'}, {'screen_name': 'gondadisgon', 'name': 'Iyah', 'id': '996928513805635584'}]",,,,,judaaime
44,1404575590607372291,1404571119143751682,2021-06-15 06:04:51 SE Asia Standard Time,2021-06-15,06:04:51,700,1377049676197867527,dsgkuzion,𝘿𝙎𝙂-𝙆𝙪𝙯𝙞𝙤𝙣🀄|#ThankYouMiura,,@KamiKanSama @VioletsRailgun @judaaime @gondadisgon Rest In Peace kamikaze  https://t.co/SYzwIkFG6Z,pl,[],[],['https://pbs.twimg.com/tweet_video_thumb/E34ODW7XoAUV0Eg.jpg'],1,0,1,[],[],https://twitter.com/DSGKuzion/status/1404575590607372291,False,,1,https://pbs.twimg.com/tweet_video_thumb/E34ODW7XoAUV0Eg.jpg,,,,,,,"{'screen_name': 'KamiKanSama', 'name': '𝕂𝕒𝕞𝕚𝕜𝕒𝕫𝕖/CR: Berserk|| CW: Mono', 'id': '1215060245392826375'}, {'screen_name': 'VioletsRailgun', 'name': 'violet', 'id': '1207800727449542656'}, {'screen_name': 'judaaime', 'name': 'taka❀', 'id': '1392214734850691075'}, {'screen_name': 'gondadisgon', 'name': 'Iyah', 'id': '996928513805635584'}]",,,,,gondadisgon
45,1404575580700483584,1403841520990658560,2021-06-15 06:04:48 SE Asia Standard Time,2021-06-15,06:04:48,700,1210968183110127616,nowhere_peace,Now_here_nowhere,,"@Min4Win @forty7JAHgo @BrianG1227 @YaBoiKeeper @ReupMir In fact the problem is even deeper than that, it's also ecological like halving people was also to let nature rest. We're already killing our planet good distribution will not solve that. 2. You're right. 3. Nope you're also right he decided to let luck , the unlucky dies anyway",en,[],[],[],0,0,0,[],[],https://twitter.com/Nowhere_Peace/status/1404575580700483584,False,,0,,,,,,,,"{'screen_name': 'Min4Win', 'name': 'Nick', 'id': '765619776508919809'}, {'screen_name': 'forty7JAHgo', 'name': 'Johnnie 🍾', 'id': '736035476327407616'}, {'screen_name': 'BrianG1227', 'name': 'Brian', 'id': '90571204'}, {'screen_name': 'YaBoiKeeper', 'name': 'Garin Feuge', 'id': '882392772740775936'}, {'screen_name': 'ReupMir', 'name': 'Mir 💫', 'id': '1367967802620002308'}]",,,,,Min4Win
45,1404575580700483584,1403841520990658560,2021-06-15 06:04:48 SE Asia Standard Time,2021-06-15,06:04:48,700,1210968183110127616,nowhere_peace,Now_here_nowhere,,"@Min4Win @forty7JAHgo @BrianG1227 @YaBoiKeeper @ReupMir In fact the problem is even deeper than that, it's also ecological like halving people was also to let nature rest. We're already killing our planet good distribution will not solve that. 2. You're right. 3. Nope you're also right he decided to let luck , the unlucky dies anyway",en,[],[],[],0,0,0,[],[],https://twitter.com/Nowhere_Peace/status/1404575580700483584,False,,0,,,,,,,,"{'screen_name': 'Min4Win', 'name': 'Nick', 'id': '765619776508919809'}, {'screen_name': 'forty7JAHgo', 'name': 'Johnnie 🍾', 'id': '736035476327407616'}, {'screen_name': 'BrianG1227', 'name': 'Brian', 'id': '90571204'}, {'screen_name': 'YaBoiKeeper', 'name': 'Garin Feuge', 'id': '882392772740775936'}, {'screen_name': 'ReupMir', 'name': 'Mir 💫', 'id': '1367967802620002308'}]",,,,,forty7JAHgo
45,1404575580700483584,1403841520990658560,2021-06-15 06:04:48 SE Asia Standard Time,2021-06-15,06:04:48,700,1210968183110127616,nowhere_peace,Now_here_nowhere,,"@Min4Win @forty7JAHgo @BrianG1227 @YaBoiKeeper @ReupMir In fact the problem is even deeper than that, it's also ecological like halving people was also to let nature rest. We're already killing our planet good distribution will not solve that. 2. You're right. 3. Nope you're also right he decided to let luck , the unlucky dies anyway",en,[],[],[],0,0,0,[],[],https://twitter.com/Nowhere_Peace/status/1404575580700483584,False,,0,,,,,,,,"{'screen_name': 'Min4Win', 'name': 'Nick', 'id': '765619776508919809'}, {'screen_name': 'forty7JAHgo', 'name': 'Johnnie 🍾', 'id': '736035476327407616'}, {'screen_name': 'BrianG1227', 'name': 'Brian', 'id': '90571204'}, {'screen_name': 'YaBoiKeeper', 'name': 'Garin Feuge', 'id': '882392772740775936'}, {'screen_name': 'ReupMir', 'name': 'Mir 💫', 'id': '1367967802620002308'}]",,,,,BrianG1227
45,1404575580700483584,1403841520990658560,2021-06-15 06:04:48 SE Asia Standard Time,2021-06-15,06:04:48,700,1210968183110127616,nowhere_peace,Now_here_nowhere,,"@Min4Win @forty7JAHgo @BrianG1227 @YaBoiKeeper @ReupMir In fact the problem is even deeper than that, it's also ecological like halving people was also to let nature rest. We're already killing our planet good distribution will not solve that. 2. You're right. 3. Nope you're also right he decided to let luck , the unlucky dies anyway",en,[],[],[],0,0,0,[],[],https://twitter.com/Nowhere_Peace/status/1404575580700483584,False,,0,,,,,,,,"{'screen_name': 'Min4Win', 'name': 'Nick', 'id': '765619776508919809'}, {'screen_name': 'forty7JAHgo', 'name': 'Johnnie 🍾', 'id': '736035476327407616'}, {'screen_name': 'BrianG1227', 'name': 'Brian', 'id': '90571204'}, {'screen_name': 'YaBoiKeeper', 'name': 'Garin Feuge', 'id': '882392772740775936'}, {'screen_name': 'ReupMir', 'name': 'Mir 💫', 'id': '1367967802620002308'}]",,,,,YaBoiKeeper
45,1404575580700483584,1403841520990658560,2021-06-15 06:04:48 SE Asia Standard Time,2021-06-15,06:04:48,700,1210968183110127616,nowhere_peace,Now_here_nowhere,,"@Min4Win @forty7JAHgo @BrianG1227 @YaBoiKeeper @ReupMir In fact the problem is even deeper than that, it's also ecological like halving people was also to let nature rest. We're already killing our planet good distribution will not solve that. 2. You're right. 3. Nope you're also right he decided to let luck , the unlucky dies anyway",en,[],[],[],0,0,0,[],[],https://twitter.com/Nowhere_Peace/status/1404575580700483584,False,,0,,,,,,,,"{'screen_name': 'Min4Win', 'name': 'Nick', 'id': '765619776508919809'}, {'screen_name': 'forty7JAHgo', 'name': 'Johnnie 🍾', 'id': '736035476327407616'}, {'screen_name': 'BrianG1227', 'name': 'Brian', 'id': '90571204'}, {'screen_name': 'YaBoiKeeper', 'name': 'Garin Feuge', 'id': '882392772740775936'}, {'screen_name': 'ReupMir', 'name': 'Mir 💫', 'id': '1367967802620002308'}]",,,,,ReupMir
47,1404575448110047233,1404474615989108742,2021-06-15 06:04:17 SE Asia Standard Time,2021-06-15,06:04:17,700,1241652537997922305,gerwwords,Gerald Sabda Adhipramana,,"@K3mt0t Rest in Peace 🙏🏻, semoga kamu dan keluarga diberikan ketabahan dan segera recoup dari masa masa duka ini. amin",in,[],[],[],0,0,0,[],[],https://twitter.com/gerwwords/status/1404575448110047233,False,,0,,,,,,,,"{'screen_name': 'K3mt0t', 'name': 'flightless bird 🐓', 'id': '138389494'}]",,,,,K3mt0t
49,1404575413742059520,1404575113262112775,2021-06-15 06:04:09 SE Asia Standard Time,2021-06-15,06:04:09,700,1319476227636400143,kuijyosara,sirin 🥀 rest in peace oceaqnid,,@astrosunfruit they did fucking what  https://t.co/CjtVJpelcC,en,[],[],['https://pbs.twimg.com/tweet_video_thumb/E34N4z6WYAEH8eB.jpg'],1,0,0,[],[],https://twitter.com/kuijyosara/status/1404575413742059520,False,,1,https://pbs.twimg.com/tweet_video_thumb/E34N4z6WYAEH8eB.jpg,,,,,,,"{'screen_name': 'astrosunfruit', 'name': 'denny', 'id': '1371127881754152972'}]",,,,,astrosunfruit
51,1404575379042361345,1404224947430428672,2021-06-15 06:04:00 SE Asia Standard Time,2021-06-15,06:04:00,700,742422211,af16001,A🅱️F! 🇮🇩 🇵🇸,,@_chrisp04 Damn that got deep pretty fast. Rest in peace  https://t.co/L8sgEmr0VA,en,[],[],['https://pbs.twimg.com/media/E34N3SNVIAIuT88.jpg'],0,0,0,[],[],https://twitter.com/AF16001/status/1404575379042361345,False,,1,https://pbs.twimg.com/media/E34N3SNVIAIuT88.jpg,,,,,,,"{'screen_name': '_chrisp04', 'name': 'chris', 'id': '3689232382'}]",,,,,_chrisp04
